COMPLAINT_ID,ACCOUNT_NUMBER,COMPLAINT_DATE,CATEGORY,COMPLAINT_REASON,ROOT_CAUSE_DRIVER,CHANNEL,SEVERITY,ESCALATION_FLAG,STATUS,OUTCOME,RESOLUTION_TYPE,RESOLUTION_DAYS,GOODWILL_AMOUNT,GSOP_COMPENSATION_FLAG,OMBUDSMAN_REFERRAL_FLAG,REPEAT_COMPLAINT_FLAG,VULNERABLE_CUSTOMER_FLAG
82,6000024527,2025-05-18,Debt / Collections Practice,Chased for balance under dispute,Debt / Collections Practice,Phone,Medium,False,Resolved - Not Upheld,Not Upheld,No Action Required,13,0.0,False,False,False,True
83,6000003976,2026-08-28,Customer Service,Complaint not logged first time,No specific system driver,Phone,Medium,False,Open,,,0,0.0,False,False,False,False
84,6000024895,2026-01-17,Payment / Direct Debit,DD cancelled in error,Payment / Direct Debit,Email,Low,False,Resolved - Not Upheld,Not Upheld,No Action Required,12,0.0,False,False,False,False
85,6000020442,2025-10-22,Website / App,App shows wrong balance,No specific system driver,Email,Low,True,Resolved - Upheld,Upheld,Process Correction & Staff Feedback,21,0.0,False,False,False,False
86,6000008746,2025-10-12,Website / App,Cannot submit meter reading online,No specific system driver,Phone,Low,False,Resolved - Partially Upheld,Partially Upheld,Apology,13,0.0,False,False,False,False
87,6000006540,2025-06-08,Payment / Direct Debit,DD amount increased without notice,Payment / Direct Debit,Phone,Low,False,Resolved - Not Upheld,Not Upheld,No Action Required,11,0.0,False,False,False,False
88,6000011729,2025-07-18,Payment / Direct Debit,DD amount increased without notice,Payment / Direct Debit,Phone,Low,False,Resolved - Upheld,Upheld,Refund Issued,14,14.49,False,False,False,False
89,6000024037,2026-07-23,Payment / Direct Debit,DD cancelled in error,Payment / Direct Debit,Email,Low,False,Resolved - Upheld,Upheld,Refund Issued,5,34.64,False,False,False,False
90,6000007425,2025-02-15,Payment / Direct Debit,DD amount increased without notice,Payment / Direct Debit,Social Media,Low,False,Resolved - Upheld,Upheld,Refund Issued,4,33.61,False,False,False,False
91,6000017137,2026-05-17,Vulnerable Customer Handling,PSR needs not recorded,No specific system driver,App,High,True,Resolved - Partially Upheld,Partially Upheld,Apology,15,0.0,False,False,False,False
92,6000020163,2025-04-20,Customer Service,Promised call-back never happened,No specific system driver,Webchat,Low,False,Resolved - Not Upheld,Not Upheld,No Action Required,10,0.0,False,False,False,False
93,6000020163,2025-11-17,Billing - Estimated Read,Estimate far above typical usage,Billing - Estimated Read,Letter,Low,True,Referred to Ombudsman,Partially Upheld,Apology,49,0.0,False,True,False,False
94,6000010356,2025-01-19,Payment / Direct Debit,DD amount increased without notice,Payment / Direct Debit,Social Media,Low,False,Resolved - Not Upheld,Not Upheld,No Action Required,9,0.0,False,False,False,False
95,6000010356,2025-02-14,Payment / Direct Debit,Payment not credited to account,Payment / Direct Debit,Email,Low,False,Resolved - Partially Upheld,Partially Upheld,Process Correction & Staff Feedback,7,0.0,False,False,True,False
96,6000008875,2025-05-19,Payment / Direct Debit,DD amount increased without notice,Payment / Direct Debit,Social Media,Low,False,Resolved - Partially Upheld,Partially Upheld,Process Correction & Staff Feedback,14,0.0,False,False,False,False
97,6000002581,2025-11-22,Payment / Direct Debit,DD cancelled in error,Payment / Direct Debit,Email,Medium,True,Resolved - Upheld,Upheld,Refund Issued,43,36.35,False,False,False,False
98,6000001931,2024-11-06,Billing - Back Billing,Large catch-up bill without warning,No specific system driver,Webchat,Medium,False,Resolved - Upheld,Upheld,Bill Adjustment / Credit,5,34.17,False,False,False,False
99,6000014975,2024-12-26,Smart Meter Installation,Installation left supply off,Smart Meter Installation,Email,Medium,False,Resolved - Partially Upheld,Partially Upheld,Apology,9,0.0,False,False,False,False
100,6000011719,2025-01-23,Meter Reading Dispute,Read rejected as implausible,No specific system driver,Phone,Low,False,Resolved - Not Upheld,Not Upheld,No Action Required,6,0.0,False,False,False,False
101,6000011719,2026-01-03,Payment / Direct Debit,DD cancelled in error,Payment / Direct Debit,Social Media,Low,False,Resolved - Upheld,Upheld,Process Correction & Staff Feedback,9,0.0,False,False,False,False
102,6000019640,2025-07-10,Customer Service,Long call wait times,No specific system driver,Social Media,Low,False,Resolved - Upheld,Upheld,Apology,10,0.0,False,False,False,True
103,6000019640,2025-10-02,Debt / Collections Practice,Collections letter tone aggressive,Debt / Collections Practice,Letter,Medium,False,Resolved - Not Upheld,Not Upheld,No Action Required,1,0.0,False,False,True,True
104,6000019640,2025-11-20,Payment / Direct Debit,DD amount increased without notice,Payment / Direct Debit,Webchat,Low,False,Resolved - Not Upheld,Not Upheld,No Action Required,4,0.0,False,False,True,True
105,6000019640,2025-12-26,Final Bill / Move Out,Charged after move-out date,Final Bill / Move Out,Phone,Low,False,Resolved - Upheld,Upheld,Apology,4,0.0,False,False,True,True
106,6000019640,2026-02-08,Debt / Collections Practice,DCA contact despite payment plan,Debt / Collections Practice,Letter,Medium,False,Resolved - Not Upheld,Not Upheld,No Action Required,11,0.0,False,False,True,True
107,6000019640,2026-03-20,Debt / Collections Practice,Debt not owed - previous occupier,Debt / Collections Practice,Webchat,Medium,False,Resolved - Partially Upheld,Partially Upheld,Process Correction & Staff Feedback,6,0.0,False,False,True,True
108,6000019640,2026-04-06,Debt / Collections Practice,DCA contact despite payment plan,Debt / Collections Practice,Phone,Medium,False,Resolved - Not Upheld,Not Upheld,No Action Required,7,0.0,False,False,True,True
109,6000008379,2025-12-01,Billing - Incorrect Charges,Duplicate charge on bill,No specific system driver,App,Low,False,Resolved - Upheld,Upheld,Tariff Correction,13,0.0,False,False,False,False
110,6000011180,2026-02-28,Final Bill / Move Out,Final bill not received,Final Bill / Move Out,Phone,Low,False,Resolved - Upheld,Upheld,Bill Adjustment / Credit,6,19.97,False,False,False,False
111,6000002224,2025-09-21,Billing - Back Billing,Large catch-up bill without warning,No specific system driver,Email,Medium,False,Closed - No Customer Response,Upheld,Goodwill Payment,6,10.57,False,False,False,False
112,6000024934,2025-06-17,Debt / Collections Practice,Collections letter tone aggressive,Debt / Collections Practice,Phone,Medium,False,Resolved - Not Upheld,Not Upheld,No Action Required,7,0.0,False,False,False,False
113,6000024934,2025-07-16,Debt / Collections Practice,DCA contact despite payment plan,Debt / Collections Practice,Phone,Medium,False,Resolved - Not Upheld,Not Upheld,No Action Required,12,0.0,False,False,True,False
114,6000024934,2025-09-01,Customer Service,Complaint not logged first time,No specific system driver,Phone,Low,False,Resolved - Not Upheld,Not Upheld,No Action Required,7,0.0,False,False,True,False
115,6000008845,2025-05-21,Final Bill / Move Out,Final bill based on estimate,Final Bill / Move Out,Letter,Low,False,Resolved - Partially Upheld,Partially Upheld,Apology,14,0.0,False,False,False,False
116,6000022432,2025-01-23,Smart Meter Installation,IHD not working after install,Smart Meter Installation,Email,Medium,False,Resolved - Not Upheld,Not Upheld,No Action Required,13,0.0,False,False,False,False
117,6000002994,2024-08-17,Payment / Direct Debit,DD cancelled in error,Payment / Direct Debit,Email,Low,False,Resolved - Partially Upheld,Partially Upheld,Process Correction & Staff Feedback,7,0.0,False,False,False,False
118,6000002994,2025-05-01,Payment / Direct Debit,DD taken twice in one month,Payment / Direct Debit,Phone,Low,False,Resolved - Upheld,Upheld,Process Correction & Staff Feedback,12,0.0,False,False,False,False
119,6000002994,2025-06-23,Payment / Direct Debit,Payment not credited to account,Payment / Direct Debit,Phone,Low,True,Resolved - Upheld,Upheld,Process Correction & Staff Feedback,20,0.0,False,False,True,False
120,6000003218,2024-08-10,Payment / Direct Debit,DD amount increased without notice,Payment / Direct Debit,Phone,Low,False,Resolved - Not Upheld,Not Upheld,No Action Required,11,0.0,False,False,False,False
121,6000003218,2025-01-02,Debt / Collections Practice,Collections letter tone aggressive,Debt / Collections Practice,Webchat,Medium,False,Resolved - Upheld,Upheld,Payment Plan Set Up,2,0.0,False,False,False,False
122,6000003218,2026-07-28,Debt / Collections Practice,DCA contact despite payment plan,Debt / Collections Practice,Email,Medium,False,Resolved - Not Upheld,Not Upheld,No Action Required,2,0.0,False,False,False,False
123,6000010111,2025-03-20,Meter Reading Dispute,Disputed opening read on transfer,No specific system driver,Phone,Low,False,Resolved - Not Upheld,Not Upheld,No Action Required,7,0.0,False,False,False,False
124,6000010111,2026-07-03,Meter Reading Dispute,Read rejected as implausible,No specific system driver,Social Media,Low,False,Resolved - Partially Upheld,Partially Upheld,Apology,3,0.0,False,False,False,False
125,6000005687,2026-05-16,Billing - Estimated Read,Estimate far above typical usage,Billing - Estimated Read,Phone,Medium,True,Resolved - Upheld,Upheld,Apology,53,0.0,False,False,False,False
126,6000009503,2026-05-20,Debt / Collections Practice,DCA contact despite payment plan,Debt / Collections Practice,Phone,Medium,False,Resolved - Partially Upheld,Partially Upheld,Process Correction & Staff Feedback,2,0.0,False,False,False,False
127,6000023936,2024-09-22,Refund Delay,Final credit refund overdue,No specific system driver,Phone,Medium,False,Resolved - Upheld,Upheld,Refund Issued,4,29.25,False,False,False,False
128,6000003636,2024-08-14,Payment / Direct Debit,DD amount increased without notice,Payment / Direct Debit,Social Media,Low,False,Resolved - Partially Upheld,Partially Upheld,Refund Issued,5,23.66,False,False,False,False
129,6000023681,2026-01-11,Payment / Direct Debit,DD taken twice in one month,Payment / Direct Debit,Webchat,Low,False,Resolved - Upheld,Upheld,Refund Issued,6,60.42,False,False,False,False
130,6000002001,2025-01-13,Payment / Direct Debit,DD taken twice in one month,Payment / Direct Debit,Phone,Medium,False,Resolved - Upheld,Upheld,Process Correction & Staff Feedback,4,0.0,False,False,False,False
131,6000014618,2025-06-04,Debt / Collections Practice,Debt not owed - previous occupier,Debt / Collections Practice,Webchat,Medium,False,Resolved - Upheld,Upheld,Process Correction & Staff Feedback,2,0.0,False,False,False,True
132,6000014618,2025-07-17,Debt / Collections Practice,Chased for balance under dispute,Debt / Collections Practice,Social Media,Medium,False,Resolved - Not Upheld,Not Upheld,No Action Required,9,0.0,False,False,True,True
133,6000014618,2026-07-15,Debt / Collections Practice,Collections letter tone aggressive,Debt / Collections Practice,Phone,Medium,True,Resolved - Not Upheld,Not Upheld,No Action Required,11,0.0,False,False,False,True
134,6000008993,2024-11-14,Website / App,App shows wrong balance,No specific system driver,Phone,Low,False,Resolved - Upheld,Upheld,Apology,13,0.0,False,False,False,False
135,6000015496,2025-12-26,Missed Appointment,Engineer did not attend booked slot,No specific system driver,Email,Low,False,Resolved - Not Upheld,Not Upheld,No Action Required,2,0.0,False,False,False,False
136,6000008786,2025-08-22,Switching / Erroneous Transfer,Transferred to supplier in error,No specific system driver,Email,High,False,Resolved - Upheld,Upheld,GSOP Compensation,3,30.0,True,False,False,False
137,6000010485,2026-02-15,Payment / Direct Debit,DD cancelled in error,Payment / Direct Debit,Phone,Low,False,Resolved - Partially Upheld,Partially Upheld,Refund Issued,10,16.83,False,False,False,False
138,6000006941,2025-11-09,Billing - Estimated Read,Smart meter not sending reads,Billing - Estimated Read,Email,Low,False,Resolved - Not Upheld,Not Upheld,No Action Required,10,0.0,False,False,False,False
139,6000021152,2024-12-13,Missed Appointment,Engineer did not attend booked slot,No specific system driver,Webchat,Medium,False,Resolved - Upheld,Upheld,GSOP Compensation,1,30.0,True,False,False,False
140,6000003028,2025-05-18,Payment / Direct Debit,DD cancelled in error,Payment / Direct Debit,App,Low,False,Resolved - Upheld,Upheld,Apology,3,0.0,False,False,False,True
141,6000003028,2026-01-18,Payment / Direct Debit,Payment not credited to account,Payment / Direct Debit,Letter,Low,False,Resolved - Partially Upheld,Partially Upheld,Refund Issued,9,20.7,False,False,False,True
142,6000020316,2025-03-03,Refund Delay,Refund promised but not processed,No specific system driver,App,Medium,False,Resolved - Upheld,Upheld,Refund Issued,4,65.44,False,False,False,False
143,6000020316,2025-12-05,Smart Meter Installation,IHD not working after install,Smart Meter Installation,Email,Medium,True,Resolved - Upheld,Upheld,GSOP Compensation,31,30.0,True,False,False,False
144,6000002745,2025-11-21,Payment / Direct Debit,DD taken twice in one month,Payment / Direct Debit,App,Low,False,Resolved - Upheld,Upheld,Apology,11,0.0,False,False,False,False
145,6000011498,2025-03-02,Payment / Direct Debit,DD amount increased without notice,Payment / Direct Debit,Social Media,Low,False,Resolved - Upheld,Upheld,Refund Issued,5,38.85,False,False,False,False
146,6000011498,2026-05-04,Customer Service,Conflicting information from agents,No specific system driver,App,Low,False,Resolved - Partially Upheld,Partially Upheld,Apology,12,0.0,False,False,False,False
147,6000001683,2024-08-16,Payment / Direct Debit,DD cancelled in error,Payment / Direct Debit,App,Low,False,Resolved - Not Upheld,Not Upheld,No Action Required,1,0.0,False,False,False,False
